PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35573892","Scalable Textile Manufacturing Methods for Fabricating Triboelectric Nanogenerators with Balanced Electrical and Wearable Properties","Gunawardhana KRS, Wanasekara ND, Wijayantha KG, Dharmasena RDI.","ACS Appl Electron Mater. 2022 Feb 22;4(2):678-688. doi: 10.1021/acsaelm.1c01095. Epub 2022 Jan 26.","Gunawardhana KRS","ACS Appl Electron Mater","2022","2022/05/16","PMC9097478","","10.1021/acsaelm.1c01095"
"33196645","Development of the automated software and device for determination of wicking in textiles using open-source tools","Milanovic PM, Stankovic SB, Novakovic M, Grujic D, Kostic M, Milanovic JZ.","PLoS One. 2020 Nov 16;15(11):e0241665. doi: 10.1371/journal.pone.0241665. eCollection 2020.","Milanovic PM","PLoS One","2020","2020/11/16","PMC7668598","","10.1371/journal.pone.0241665"
"40283247","Fabrication and Performance of Aluminum-Based Composite Wicks Using a Two-Step Laser-Sintering Process","Tang Y, Wei Y, Sun T, Bai J, Luo F, Qiu H, Li Y, Yuan W, Zhang S.","Micromachines (Basel). 2025 Mar 25;16(4):370. doi: 10.3390/mi16040370.","Tang Y","Micromachines (Basel)","2025","2025/04/26","PMC12029961","","10.3390/mi16040370"
"35424488","Polylactic acid based Janus membranes with asymmetric wettability for directional moisture transport with enhanced UV protective capabilities","Gu Y, Wu J, Hu M, Pi H, Wang R, Zhang X.","RSC Adv. 2021 Dec 20;12(1):32-41. doi: 10.1039/d1ra07912c. eCollection 2021 Dec 20.","Gu Y","RSC Adv","2021","2022/04/15","PMC8978661","","10.1039/d1ra07912c"
"33576511","The ""Maskne"" microbiome - pathophysiology and therapeutics","Teo WL.","Int J Dermatol. 2021 Jul;60(7):799-809. doi: 10.1111/ijd.15425. Epub 2021 Feb 12.","Teo WL","Int J Dermatol","2021","2021/02/12","PMC8013758","","10.1111/ijd.15425"
"33287287","Integration of Conductive Materials with Textile Structures, an Overview","Tseghai GB, Malengier B, Fante KA, Nigusse AB, Van Langenhove L.","Sensors (Basel). 2020 Dec 3;20(23):6910. doi: 10.3390/s20236910.","Tseghai GB","Sensors (Basel)","2020","2020/12/08","PMC7730024","","10.3390/s20236910"
"37361104","Recent Advances in Superhydrophobic and Antibacterial Cellulose-Based Fibers and Fabrics: Bio-inspiration, Strategies, and Applications","Zhou H, Li Q, Zhang Z, Wang X, Niu H.","Adv Fiber Mater. 2023 May 22:1-37. doi: 10.1007/s42765-023-00297-1. Online ahead of print.","Zhou H","Adv Fiber Mater","2023","2023/06/26","PMC10201051","","10.1007/s42765-023-00297-1"
"34675199","Integrated cooling (i-Cool) textile of heat conduction and sweat transportation for personal perspiration management","Peng Y, Li W, Liu B, Jin W, Schaadt J, Tang J, Zhou G, Wang G, Zhou J, Zhang C, Zhu Y, Huang W, Wu T, Goodson KE, Dames C, Prasher R, Fan S, Cui Y.","Nat Commun. 2021 Oct 21;12(1):6122. doi: 10.1038/s41467-021-26384-8.","Peng Y","Nat Commun","2021","2021/10/22","PMC8531342","","10.1038/s41467-021-26384-8"
"31804506","All-fiber tribo-ferroelectric synergistic electronics with high thermal-moisture stability and comfortability","Yang W, Gong W, Hou C, Su Y, Guo Y, Zhang W, Li Y, Zhang Q, Wang H.","Nat Commun. 2019 Dec 5;10(1):5541. doi: 10.1038/s41467-019-13569-5.","Yang W","Nat Commun","2019","2019/12/06","PMC6895236","","10.1038/s41467-019-13569-5"
"38140792","Advanced Cooling Textiles: Mechanisms, Applications, and Perspectives","Zhang X, Wang F, Guo H, Sun F, Li X, Zhang C, Yu C, Qin X.","Adv Sci (Weinh). 2024 Mar;11(10):e2305228. doi: 10.1002/advs.202305228. Epub 2023 Dec 22.","Zhang X","Adv Sci (Weinh)","2024","2023/12/23","PMC10933611","","10.1002/advs.202305228"
"30966246","Application of Superabsorbent Spacer Fabrics as Exuding Wound Dressing","Yang Y, Hu H.","Polymers (Basel). 2018 Feb 22;10(2):210. doi: 10.3390/polym10020210.","Yang Y","Polymers (Basel)","2018","2019/04/11","PMC6415116","","10.3390/polym10020210"
"34415724","Enabling Superhydrophobicity-Guided Superwicking in Metal Alloys via a Nanosecond Laser-Based Surface Treatment Method","Samanta A, Huang W, Parveg ASMS, Kotak P, Auyeung RCY, Charipar NA, Shaw SK, Ratner A, Lamuta C, Ding H.","ACS Appl Mater Interfaces. 2021 Sep 1;13(34):41209-41219. doi: 10.1021/acsami.1c09144. Epub 2021 Aug 20.","Samanta A","ACS Appl Mater Interfaces","2021","2021/08/20","PMC8414485","","10.1021/acsami.1c09144"
"38198540","Phyto-inspired sustainable and high-performance fabric generators via moisture absorption-evaporation cycles","Hu Y, Yang W, Wei W, Sun Z, Wu B, Li K, Li Y, Zhang Q, Xiao R, Hou C, Wang H.","Sci Adv. 2024 Jan 12;10(2):eadk4620. doi: 10.1126/sciadv.adk4620. Epub 2024 Jan 10.","Hu Y","Sci Adv","2024","2024/01/10","PMC10780955","","10.1126/sciadv.adk4620"
"38433241","Performance enhancement of the solar still using textiles and polyurethane rollers","Wiener J, Khan MZ, Shah K.","Sci Rep. 2024 Mar 3;14(1):5202. doi: 10.1038/s41598-024-55948-z.","Wiener J","Sci Rep","2024","2024/03/03","PMC10909847","","10.1038/s41598-024-55948-z"
"24049594","Analysis of the thermal comfort and impact properties of the neoprene-spacer fabric structure for preventing the joint damages","Ghorbani E, Hasani H, Rafeian H, Hashemibeni B.","Int J Prev Med. 2013 Jul;4(7):761-6.","Ghorbani E","Int J Prev Med","2013","2013/09/20","PMC3775215","",""
"39325227","Smart Cellulose-Based Janus Fabrics with Switchable Liquid Transportation for Personal Moisture and Thermal Management","Xi J, Lou Y, Meng L, Deng C, Chu Y, Xu Z, Xiao H, Wu W.","Nanomicro Lett. 2024 Sep 26;17(1):14. doi: 10.1007/s40820-024-01510-5.","Xi J","Nanomicro Lett","2024","2024/09/26","PMC11427652","","10.1007/s40820-024-01510-5"
"34208824","Using Artificial Neural Network Modeling to Analyze the Thermal Protective and Thermo-Physiological Comfort Performance of Textile Fabrics Used in Oilfield Workers' Clothing","Mandal S, Mazumder NU, Agnew RJ, Grover IB, Song G, Li R.","Int J Environ Res Public Health. 2021 Jun 30;18(13):6991. doi: 10.3390/ijerph18136991.","Mandal S","Int J Environ Res Public Health","2021","2021/07/02","PMC8296871","","10.3390/ijerph18136991"
"35058506","Droplet evaporation on porous fabric materials","Gonçalves M, Kim JY, Kim Y, Rubab N, Jung N, Asai T, Hong S, Weon BM.","Sci Rep. 2022 Jan 20;12(1):1087. doi: 10.1038/s41598-022-04877-w.","Gonçalves M","Sci Rep","2022","2022/01/21","PMC8776847","","10.1038/s41598-022-04877-w"
"34926860","Fabrication and characterization of stretchable denim fabric using core spun yarn","Akter N, Repon MR, Mikučionienė D, Jalil MA, Islam T, Karim MR.","Heliyon. 2021 Dec 2;7(12):e08532. doi: 10.1016/j.heliyon.2021.e08532. eCollection 2021 Dec.","Akter N","Heliyon","2021","2021/12/20","PMC8646987","","10.1016/j.heliyon.2021.e08532"
"33260364","Direct-Write Spray Coating of a Full-Duplex Antenna for E-Textile Applications","Zhou Y, Soltani S, Li BM, Wu Y, Kim I, Soewardiman H, Werner DH, Jur JS.","Micromachines (Basel). 2020 Nov 29;11(12):1056. doi: 10.3390/mi11121056.","Zhou Y","Micromachines (Basel)","2020","2020/12/02","PMC7760154","","10.3390/mi11121056"
"36080108","Highly Breathable and Abrasion-Resistant Membranes with Micro-/Nano-Channels for Eco-Friendly Moisture-Wicking Medical Textiles","Zhang Y, Li X, Wang HY, Wang BX, Li J, Cheng DH, Lu YH.","Nanomaterials (Basel). 2022 Sep 4;12(17):3071. doi: 10.3390/nano12173071.","Zhang Y","Nanomaterials (Basel)","2022","2022/09/09","PMC9458056","","10.3390/nano12173071"
"35054700","Prewetting Induced Hydrophilicity to Augment Photocatalytic Activity of Nanocalcite @ Polyester Fabric","Qayyum A, Bhatti IA, Ashar A, Jilani A, Iqbal J, Mohsin M, Ishaq T, Muhammad S, Wageh S, Dustgeer MR.","Polymers (Basel). 2022 Jan 12;14(2):295. doi: 10.3390/polym14020295.","Qayyum A","Polymers (Basel)","2022","2022/01/21","PMC8777986","","10.3390/polym14020295"
"40219296","Thermal Comfort Properties of Biodegradable Hemp and Polylactide Fiber Knitted Fabrics","Padleckienė I, Stygienė L, Krauledas S, Abraitienė A, Sankauskaitė A.","Polymers (Basel). 2025 Mar 27;17(7):903. doi: 10.3390/polym17070903.","Padleckienė I","Polymers (Basel)","2025","2025/04/12","PMC11990937","","10.3390/polym17070903"
"36134360","Gradient monolayered porous membrane for liquid manipulation: from fabrication to application","Zhang Q, Li K, Li Y, Li Y, Zhang X, Du Y, Tian D.","Nanoscale Adv. 2022 Jul 27;4(17):3495-3503. doi: 10.1039/d2na00421f. eCollection 2022 Aug 23.","Zhang Q","Nanoscale Adv","2022","2022/09/22","PMC9400516","","10.1039/d2na00421f"
"38107878","Tetrapodal textured Janus textiles for accessible menstrual health","Sanders SL, Douglas LD, Sill TE, Stewart K, Pieniazek N, Li C, Walters E, Al-Hashimi M, Fang L, Davidson RD, Banerjee S.","iScience. 2023 Nov 3;26(11):108224. doi: 10.1016/j.isci.2023.108224. eCollection 2023 Nov 17.","Sanders SL","iScience","2023","2023/12/18","PMC10725076","","10.1016/j.isci.2023.108224"
"41426976","Advancements in functional smart and wearable textiles for sportswear applications","Islam MT, Hosen MI, Islam T, Al Mamun MA, Islam T.","RSC Adv. 2025 Dec 19;15(58):50206-50232. doi: 10.1039/d5ra07231j. eCollection 2025 Dec 12.","Islam MT","RSC Adv","2025","2025/12/22","PMC12716241","","10.1039/d5ra07231j"
"37297096","Advancement of Nonwoven Fabrics in Personal Protective Equipment","Venkataraman D, Shabani E, Park JH.","Materials (Basel). 2023 May 25;16(11):3964. doi: 10.3390/ma16113964.","Venkataraman D","Materials (Basel)","2023","2023/06/10","PMC10253991","","10.3390/ma16113964"
"35516954","Flexible, portable and heatable non-woven fabric with directional moisture transport functions and ultra-fast evaporation","Xu J, Xin B, Du X, Wang C, Chen Z, Zheng Y, Zhou M.","RSC Adv. 2020 Jul 23;10(46):27512-27522. doi: 10.1039/d0ra03867a. eCollection 2020 Jul 21.","Xu J","RSC Adv","2020","2022/05/06","PMC9055594","","10.1039/d0ra03867a"
"40041618","Thermal management with innovative fibers and textiles: manipulating heat transport, storage and conversion","Peng Y, Cui Y.","Natl Sci Rev. 2024 Aug 22;11(10):nwae295. doi: 10.1093/nsr/nwae295. eCollection 2024 Oct.","Peng Y","Natl Sci Rev","2024","2025/03/05","PMC11879428","","10.1093/nsr/nwae295"
"39942238","Comparative Analysis of Thermal Comfort and Antimicrobial Properties of Base Fabrics for Smart Socks as Personal Protective Equipment (PPE)","Momotaz F, Eike R, Li R, Song G.","Materials (Basel). 2025 Jan 27;18(3):572. doi: 10.3390/ma18030572.","Momotaz F","Materials (Basel)","2025","2025/02/13","PMC11818340","","10.3390/ma18030572"
"39597341","Enhancing Thermoelectrical Properties of Silver-Nanowire-Embedded Heatable Textiles via Sputter-Mediated Nanowire Structural Modulation","Lee C, Park J, Choi D.","Materials (Basel). 2024 Nov 12;17(22):5514. doi: 10.3390/ma17225514.","Lee C","Materials (Basel)","2024","2024/11/27","PMC11595920","","10.3390/ma17225514"
"34017600","Infrared absorbing nanoparticle impregnated self-heating fabrics for significantly improved moisture management under ambient conditions","Wijenayaka LA, Wijesena RN, Tissera ND, Nisansala Bandara WRL, Amaratunga GJ, Nalin De Silva KM.","R Soc Open Sci. 2021 May 19;8(5):202222. doi: 10.1098/rsos.202222.","Wijenayaka LA","R Soc Open Sci","2021","2021/05/21","PMC8131935","","10.1098/rsos.202222"
"39694974","Skin-Friendly Large Matrix Iontronic Sensing Meta-Fabric for Spasticity Visualization and Rehabilitation Training via Piezo-Ionic Dynamics","Xu R, Xu T, She M, Ji X, Li G, Zhang S, Zhang X, Liu H, Sun B, Shen G, Tian M.","Nanomicro Lett. 2024 Dec 19;17(1):90. doi: 10.1007/s40820-024-01566-3.","Xu R","Nanomicro Lett","2024","2024/12/18","PMC11655817","","10.1007/s40820-024-01566-3"
"38370189","Strategies in surface engineering for the regulation of microclimates in skin-medical product interactions","Reuvekamp H, Hekman EEG, van der Heide E, Matthews DTA.","Heliyon. 2024 Feb 1;10(4):e25395. doi: 10.1016/j.heliyon.2024.e25395. eCollection 2024 Feb 29.","Reuvekamp H","Heliyon","2024","2024/02/19","PMC10869805","","10.1016/j.heliyon.2024.e25395"
"37959613","Up to Date Review of Nature-Inspired Superhydrophobic Textiles: Fabrication and Applications","Ge H, Liu Y, Liu F.","Materials (Basel). 2023 Nov 2;16(21):7015. doi: 10.3390/ma16217015.","Ge H","Materials (Basel)","2023","2023/11/14","PMC10649416","","10.3390/ma16217015"
"38482499","Smart Janus textiles for biofluid management in wearable applications","Li X, Wang Q, Zheng L, Xu T.","iScience. 2024 Feb 23;27(3):109318. doi: 10.1016/j.isci.2024.109318. eCollection 2024 Mar 15.","Li X","iScience","2024","2024/03/14","PMC10933548","","10.1016/j.isci.2024.109318"
"39685264","Flammability and Thermoregulation Performance of Multilayer Protective Clothing Incorporated with Phase Change Materials","Shoaib M, Jamshaid H, Mishra RK, Iqbal K, Müller M, Chandan V, Alexiou Ivanova T.","Materials (Basel). 2024 Nov 27;17(23):5826. doi: 10.3390/ma17235826.","Shoaib M","Materials (Basel)","2024","2024/12/17","PMC11641941","","10.3390/ma17235826"
"39811019","Unidirectional moisture-conducting green fabrics prepared by a one-step electrospray technique","Bi S, Yang Y, Pei G, Yang T, Hu S, Jia Q.","RSC Adv. 2025 Jan 14;15(2):1125-1133. doi: 10.1039/d4ra08289c. eCollection 2025 Jan 9.","Bi S","RSC Adv","2025","2025/01/15","PMC11729219","","10.1039/d4ra08289c"
"40818992","Structure design of unidirectional moisture transfer fabric with high wool content based on multiple differential effects","Chen Y, Wang R.","Sci Rep. 2025 Aug 16;15(1):29997. doi: 10.1038/s41598-025-15179-2.","Chen Y","Sci Rep","2025","2025/08/16","PMC12357906","","10.1038/s41598-025-15179-2"
"36559759","Characterization of Sweat Drying Performance of Single Layered Thermal Protective Fabrics Used in High-Risk Sector Workers' Clothing","Mandal S, Chowdhury IZ, Mazumder NU, Agnew RJ, Boorady LM.","Polymers (Basel). 2022 Dec 9;14(24):5393. doi: 10.3390/polym14245393.","Mandal S","Polymers (Basel)","2022","2022/12/23","PMC9788630","","10.3390/polym14245393"
"28362396","Fabrication of Three-dimensional Paper-based Microfluidic Devices for Immunoassays","Fernandes SC, Wilson DJ, Mace CR.","J Vis Exp. 2017 Mar 9;(121):55287. doi: 10.3791/55287.","Fernandes SC","J Vis Exp","2017","2017/04/01","PMC5409345","","10.3791/55287"
"36771882","Eco-Friendly Fibers Embedded Yarn Structure in High-Performance Fabrics to Improve Moisture Absorption and Drying Properties","Kim HA.","Polymers (Basel). 2023 Jan 23;15(3):581. doi: 10.3390/polym15030581.","Kim HA","Polymers (Basel)","2023","2023/02/11","PMC9920085","","10.3390/polym15030581"
"36671962","Flexible Textile-Based Sweat Sensors for Wearable Applications","Yin J, Li J, Reddy VS, Ji D, Ramakrishna S, Xu L.","Biosensors (Basel). 2023 Jan 12;13(1):127. doi: 10.3390/bios13010127.","Yin J","Biosensors (Basel)","2023","2023/01/21","PMC9856321","","10.3390/bios13010127"
"40256565","Flexible and Durable Direct Ink Writing 3D-Printed Conductive Fabrics for Smart Wearables","Zhao Z, Liu W, Liu H.","ACS Omega. 2025 Apr 1;10(14):14138-14149. doi: 10.1021/acsomega.4c11367. eCollection 2025 Apr 15.","Zhao Z","ACS Omega","2025","2025/04/21","PMC12004193","","10.1021/acsomega.4c11367"
"37810732","Photo-Induced Super-Hydrophilicity of Nano-Calcite @ Polyester Fabric: Enhanced Solar Photocatalytic Activity against Imidacloprid","Ashar A, Qayyum A, Bhatti IA, Aziz H, Bhutta ZA, Abdel-Maksoud MA, Saleem MH, Eletmany MR.","ACS Omega. 2023 Sep 21;8(39):35722-35737. doi: 10.1021/acsomega.3c02987. eCollection 2023 Oct 3.","Ashar A","ACS Omega","2023","2023/10/09","PMC10552504","","10.1021/acsomega.3c02987"
"38478150","Personal Thermal Management by Radiative Cooling and Heating","Xue S, Huang G, Chen Q, Wang X, Fan J, Shou D.","Nanomicro Lett. 2024 Mar 13;16(1):153. doi: 10.1007/s40820-024-01360-1.","Xue S","Nanomicro Lett","2024","2024/03/13","PMC10937893","","10.1007/s40820-024-01360-1"
"34504964","Surface modification and improvements of wicking properties and dyeability of grey jute-cotton blended fabrics using low-pressure glow discharge air plasma","Ullah MH, Akther H, Rahman MM, Foisal ABM, Hasan MM, Amir-Al Zumahi SM, Amri A.","Heliyon. 2021 Aug 28;7(8):e07893. doi: 10.1016/j.heliyon.2021.e07893. eCollection 2021 Aug.","Ullah MH","Heliyon","2021","2021/09/10","PMC8411235","","10.1016/j.heliyon.2021.e07893"
"41374159","Preliminary Assessment of Commercial Antibacterial Finishes on Knitted Fabrics from Recycled Cotton and Polyester","Faheem MS, Jamshaid H, Mishra RK, Abbas A, Muller M, Urban J, Penc M.","Materials (Basel). 2025 Nov 25;18(23):5319. doi: 10.3390/ma18235319.","Faheem MS","Materials (Basel)","2025","2025/12/11","PMC12693018","","10.3390/ma18235319"
"38201671","Construction Strategy for Flexible and Breathable SiO(2)/Al/NFs/PET Composite Fabrics with Dual Shielding against Microwave and Infrared-Thermal Radiations for Wearable Protective Clothing","Ye H, Liu Q, Xu X, Song M, Lu Y, Yang L, Wang W, Wang Y, Li M, Wang D.","Polymers (Basel). 2023 Dec 19;16(1):6. doi: 10.3390/polym16010006.","Ye H","Polymers (Basel)","2023","2024/01/11","PMC10781071","","10.3390/polym16010006"
"38512520","Wettability Gradient-Induced Diode: MXene-Engineered Membrane for Passive-Evaporative Cooling","Lei L, Meng S, Si Y, Shi S, Wu H, Yang J, Hu J.","Nanomicro Lett. 2024 Mar 21;16(1):159. doi: 10.1007/s40820-024-01359-8.","Lei L","Nanomicro Lett","2024","2024/03/21","PMC10957859","","10.1007/s40820-024-01359-8"
"34204577","Wearable Smart Textiles for Long-Term Electrocardiography Monitoring-A Review","Nigusse AB, Mengistie DA, Malengier B, Tseghai GB, Langenhove LV.","Sensors (Basel). 2021 Jun 17;21(12):4174. doi: 10.3390/s21124174.","Nigusse AB","Sensors (Basel)","2021","2021/07/02","PMC8234162","","10.3390/s21124174"
"39635108","Radiative cooling textiles using industry-standard particle-free nonporous micro-structured fibers","Catrysse PB, Fan S.","Nanophotonics. 2024 Jan 11;13(5):649-657. doi: 10.1515/nanoph-2023-0650. eCollection 2024 Mar.","Catrysse PB","Nanophotonics","2024","2024/12/05","PMC11501447","","10.1515/nanoph-2023-0650"
"33530403","Smart Textiles and Sensorized Garments for Physiological Monitoring: A Review of Available Solutions and Techniques","Angelucci A, Cavicchioli M, Cintorrino IA, Lauricella G, Rossi C, Strati S, Aliverti A.","Sensors (Basel). 2021 Jan 26;21(3):814. doi: 10.3390/s21030814.","Angelucci A","Sensors (Basel)","2021","2021/02/03","PMC7865961","","10.3390/s21030814"
"39347862","Recent Advances in Fibrous Materials for Hydroelectricity Generation","Ge C, Xu D, Feng X, Yang X, Song Z, Song Y, Chen J, Liu Y, Gao C, Du Y, Sun Z, Xu W, Fang J.","Nanomicro Lett. 2024 Sep 30;17(1):29. doi: 10.1007/s40820-024-01537-8.","Ge C","Nanomicro Lett","2024","2024/09/30","PMC11444048","","10.1007/s40820-024-01537-8"
"39296324","Advances in textile-based microfluidics for biomolecule sensing","Milić L, Zambry NS, Ibrahim FB, Petrović B, Kojić S, Thiha A, Joseph K, Jamaluddin NF, Stojanović GM.","Biomicrofluidics. 2024 Sep 17;18(5):051502. doi: 10.1063/5.0222244. eCollection 2024 Sep.","Milić L","Biomicrofluidics","2024","2024/09/19","PMC11410389","","10.1063/5.0222244"
"33800087","The Effect of Fiber Type and Yarn Diameter on Superhydrophobicity, Self-Cleaning Property, and Water Spray Resistance","Oh JH, Park CH.","Polymers (Basel). 2021 Mar 7;13(5):817. doi: 10.3390/polym13050817.","Oh JH","Polymers (Basel)","2021","2021/04/03","PMC7962189","","10.3390/polym13050817"
"37771924","Changes in characteristics of silver conductive fabrics owing to perspiration and washing","Park S, Kim H, Lee S.","RSC Adv. 2023 Sep 27;13(41):28444-28461. doi: 10.1039/d3ra04276f. eCollection 2023 Sep 26.","Park S","RSC Adv","2023","2023/09/29","PMC10523134","","10.1039/d3ra04276f"
"27808248","Constructing safe and durable antibacterial textile surfaces using a robust graft-to strategy via covalent bond formation","He L, Li S, Chung CT, Gao C, Xin JH.","Sci Rep. 2016 Nov 3;6:36327. doi: 10.1038/srep36327.","He L","Sci Rep","2016","2016/11/04","PMC5093760","","10.1038/srep36327"
"31947945","Switchable Wettability of Poly(NIPAAm-co-HEMA-co-NMA) Coated PET Fabric for Moisture Management","Chaudhuri S, Wu CM.","Polymers (Basel). 2020 Jan 4;12(1):100. doi: 10.3390/polym12010100.","Chaudhuri S","Polymers (Basel)","2020","2020/01/18","PMC7023078","","10.3390/polym12010100"
"30424488","Comparative Study on Conductive Knitted Fabric Electrodes for Long-Term Electrocardiography Monitoring: Silver-Plated and PEDOT:PSS Coated Fabrics","Ankhili A, Tao X, Cochrane C, Koncar V, Coulon D, Tarlet JM.","Sensors (Basel). 2018 Nov 12;18(11):3890. doi: 10.3390/s18113890.","Ankhili A","Sensors (Basel)","2018","2018/11/15","PMC6263403","","10.3390/s18113890"
"33672322","Development and Characterization of Weft-Knitted Fabrics of Naturally Occurring Polymer Fibers for Sustainable and Functional Textiles","Ferrándiz M, Fages E, Rojas-Lema S, Ivorra-Martinez J, Gomez-Caturla J, Torres-Giner S.","Polymers (Basel). 2021 Feb 23;13(4):665. doi: 10.3390/polym13040665.","Ferrándiz M","Polymers (Basel)","2021","2021/03/06","PMC7926964","","10.3390/polym13040665"
"40640122","Constructing electrospun 3D liquid metal adhesion channel on stretchable yarns for broad-range strain-insensitivity smart textiles","Duan Y, Sun Z, Zhang Q, Dong Y, Lin Y, Ji D, Qin X.","Nat Commun. 2025 Jul 10;16(1):6362. doi: 10.1038/s41467-025-61444-3.","Duan Y","Nat Commun","2025","2025/07/10","PMC12246137","","10.1038/s41467-025-61444-3"
"41367685","MWCNT-coated textiles for heating and temperature sensing under varying environmental conditions","Abdi B, Gebeyehu EK, Tehrani-Bagha AR.","RSC Adv. 2025 Dec 8;15(56):47735-47750. doi: 10.1039/d5ra07103h. eCollection 2025 Dec 3.","Abdi B","RSC Adv","2025","2025/12/10","PMC12683328","","10.1039/d5ra07103h"
"36143799","Liquid Moisture Transport in Cotton Woven Fabrics with Different Weft Yarns","Matusiak M, Kamińska D.","Materials (Basel). 2022 Sep 19;15(18):6489. doi: 10.3390/ma15186489.","Matusiak M","Materials (Basel)","2022","2022/09/23","PMC9504572","","10.3390/ma15186489"
